id,Area code,Region,Local Authority,Prosperity Rank,Economic Quality Rank,Business Environment Rank,Education Rank,Health Rank,Safety & Security Rank,Social Capital Rank,Natural Environment Rank,child poverty rate,median annual pay (£),5 yr business survival rate,entrepreneurship rate (businesses created per 1000 people),life expectancy (birth),housing affordability ratio (average price to earnings ratio)
228,E09000020,London, Kensington and Chelsea,160,44,6,34,5,384,388,250,28%,40405,40%,"19,9","84,9","32,2"
235,E09000033,London, Westminster,253,253,2,23,47,388,389,256,39%,37909,35%,"48,8","84,2","25,4"
234,E09000032,London, Wandsworth,125,39,26,88,173,314,374,126,27%,35846,41%,"13,4","81,7","16,0"
253,E09000027,London, Richmond upon Thames,28,6,12,26,20,173,330,286,15%,35054,45%,"15,8","84,3","17,7"
225,E09000013,London, Hammersmith and Fulham,245,201,19,52,222,385,375,150,31%,34619,37%,"18,4","81,9","22,0"
227,E09000019,London, Islington,309,278,10,169,251,386,367,201,38%,33129,41%,"22,4","81,3","19,4"
222,E09000007,London, Camden,278,179,7,174,31,387,386,290,36%,33097,39%,"26,1","84,3","23,8"
183,E07000068,East, Brentwood,130,17,192,"176,5",103,209,145,361,16%,32792,39%,"13,8","82,7","10,5"
199,E07000240,East, St Albans,4,2,3,16,23,92,108,239,14%,32229,48%,"13,7","84,0","13,9"
241,E09000006,London, Bromley,59,83,54,15,51,180,275,285,21%,31371,42%,"10,9","83,2","12,3"
286,E07000089,South East, Hart,14,12,133,72,2,123,212,59,11%,31191,45%,"9,8","84,5","11,6"
268,E06000041,South East, Wokingham,12,34,71,8,21,39,102,301,10%,31086,43%,"11,2","83,3","11,8"
250,E09000021,London, Kingston upon Thames,76,128,37,4,89,236,361,238,21%,30936,42%,"11,1","83,3","14,2"
267,E06000040,South East, Windsor and Maidenhead,61,42,96,19,91,131,45,385,16%,30797,40%,"14,2","82,8","14,1"
312,E07000207,South East, Elmbridge,32,102,18,41,28,233,142,160,13%,30230,47%,"15,7","83,7","18,1"
232,E09000028,London, Southwark,304,293,36,70,230,383,373,267,34%,30101,38%,"13,2","81,4","15,5"
318,E07000213,South East, Spelthorne,100,52,80,60,239,309,228,92,16%,29927,37%,"13,2","82,3","10,7"
233,E09000030,London, Tower Hamlets,338,383,53,96,313,389,382,12,49%,29778,36%,"16,5","80,2","14,2"
28,E07000029,North West, Copeland,201,195,360,274,272,146,309,6,22%,29190,49%,"7,9","79,9","3,8"
252,E09000026,London, Redbridge,242,243,83,130,69,343,368,331,31%,29176,36%,"13,5","82,8","11,8"
